T_star,S_star,R_star,g_star,direct_band,n_acu_states,pdi_potential,all_terminal_levels
0.68,0.76,0.16,0.536,3,13,4,"[0, 1, 2, 3, 4]"
0.66,0.76,0.18,0.522,3,13,4,"[0, 1, 2, 3, 4]"
0.66,0.74,0.28,0.496,2,11,4,"[0, 1, 2, 3, 4]"
0.68,0.74,0.22,0.518,3,13,4,"[0, 1, 2, 3, 4]"
0.66,0.74,0.24,0.504,3,11,4,"[0, 1, 2, 3, 4]"
0.66,0.8,0.2,0.53,3,13,4,"[0, 1, 2, 3, 4]"
0.68,0.74,0.18,0.526,3,13,4,"[0, 1, 2, 3, 4]"
0.7,0.8,0.28,0.534,3,13,4,"[0, 1, 2, 3, 4]"
